event_category,event_day,AAR,CAAR
PR_crisis,-10,-0.002010467323698205,-0.002010467323698205
PR_crisis,-9,0.008666370378443339,0.006655903054745133
PR_crisis,-8,-0.0012792411325760556,0.005376661922169078
PR_crisis,-7,0.0005700059757812669,0.005946667897950344
PR_crisis,-6,0.0015029829394118857,0.00744965083736223
PR_crisis,-5,0.002668875950790944,0.010118526788153174
PR_crisis,-4,-0.0033190709582681657,0.006799455829885009
PR_crisis,-3,-0.005617066759932124,0.0011823890699528845
PR_crisis,-2,0.0016822693722179731,0.0028646584421708576
PR_crisis,-1,-0.001324368247157561,0.0015402901950132967
PR_crisis,0,0.003740242697463107,0.005280532892476404
PR_crisis,1,-0.0013456976211878675,0.003934835271288536
PR_crisis,2,-0.0024468253924601275,0.0014880098788284091
PR_crisis,3,0.006400269072633408,0.007888278951461818
PR_crisis,4,-0.001256688665873295,0.006631590285588523
PR_crisis,5,0.0006540333232987364,0.007285623608887259
PR_crisis,6,-0.0038059033466634347,0.003479720262223824
PR_crisis,7,0.0020382848518394965,0.005518005114063321
PR_crisis,8,0.0002412538609108893,0.00575925897497421
PR_crisis,9,-0.003965635288133135,0.0017936236868410747
PR_crisis,10,-0.00019204243289818322,0.0016015812539428916
activity,-10,0.0007715328041045307,0.0007715328041045307
activity,-9,0.0007295659948473378,0.0015010987989518684
activity,-8,0.005121526835340631,0.0066226256342925
activity,-7,0.0012660629702090176,0.007888688604501518
activity,-6,0.004956155743602836,0.012844844348104352
activity,-5,-0.0027069587557917558,0.010137885592312598
activity,-4,0.008754770797979393,0.01889265639029199
activity,-3,0.0038868790298216983,0.02277953542011369
activity,-2,-0.006982915479426015,0.015796619940687675
activity,-1,0.004711182037901557,0.02050780197858923
activity,0,-0.000657895379580595,0.019849906599008635
activity,1,-0.008587424108341363,0.011262482490667273
activity,2,-0.0072396162205487676,0.004022866270118506
activity,3,-0.0014910024970141206,0.002531863773104385
activity,4,0.0019423694204677685,0.004474233193572153
activity,5,0.003710307686870711,0.008184540880442865
activity,6,-0.0006890582662390295,0.007495482614203835
activity,7,0.0005548321280778999,0.008050314742281734
