event_day,AAR,CAAR
-10,-0.0003504269650100769,-0.0003504269650100769
-9,0.0014608336603864874,0.0011104066953764105
-8,-0.001605897710029013,-0.0004954910146526025
-7,-0.00019977126287995116,-0.0006952622775325537
-6,0.0035211571782132202,0.0028258949006806666
-5,3.03130003472373e-05,0.0028562079010279037
-4,0.002265497930349322,0.005121705831377226
-3,-0.004865842196012428,0.0002558636353647975
-2,-0.0007316714835803756,-0.00047580784821557814
-1,-0.0002783868512467939,-0.000754194699462372
0,0.001006672455719299,0.00025247775625692696
1,4.614587041363596e-05,0.0002986236266705629
2,-0.004477980187568204,-0.004179356560897641
3,0.0011305973117828002,-0.003048759249114841
4,-0.001259604289409034,-0.004308363538523875
5,-0.0025209643643393422,-0.006829327902863217
6,0.0008411136975794717,-0.005988214205283745
7,0.0013989026536391598,-0.0045893115516445855
8,-0.0011547763552494609,-0.005744087906894046
9,-0.0037647737677593243,-0.00950886167465337
10,0.0008626061002135068,-0.008646255574439864
