event_type_final,N,mean_AR_0,mean_CAR_m1_p1,mean_CAR_0_p3,mean_CAR_0_p5,mean_CAR_m10_p10
positive_concert,47,0.001169663523692736,0.007251986988901275,0.0091249684276831,0.006356837350610958,0.0017136053090582876
negative_PR_crisis,31,0.003363698331255745,-0.0018944157260526143,0.006391980477186998,0.007826243279877035,0.004431134699286897
positive_activity,29,-0.00038714956735514435,0.005506427405287522,-0.011386365562261382,-0.0060553605032783115,0.016962968242048702
positive_comeback,21,0.0025601208704508958,0.009075927982753177,0.008679879813434597,0.002421291156604872,-0.007907937131569924
artist_transition,10,-0.006122996636832937,-0.03353258167822144,-0.060015601438627664,-0.09114406378590756,-0.1265191476242271
negative_contract_crisis,10,-0.02506567243396742,-0.04747357167884998,-0.031817997024624164,-0.03897353039825065,-0.06410693133634202
dating,9,0.0006960756832677696,-0.012788885550934511,-0.010615468197813236,-0.011448261603379195,-0.011767909429977661
positive_resolution,8,0.03374236625545272,0.052568164190431796,0.019521782756216355,-0.0018516548922099026,0.005221972529104436
