event_type_final,n_events,mean_CAR_m1_p1,mean_CAR_0_p3,mean_CAR_0_p5
positive_concert,47,0.007251986988901275,0.0091249684276831,0.006356837350610958
negative_PR_crisis,31,-0.001894415726052614,0.006391980477186998,0.007826243279877035
positive_activity,29,0.005506427405287522,-0.011386365562261382,-0.0060553605032783115
positive_comeback,21,0.009075927982753177,0.008679879813434597,0.002421291156604872
negative_contract_crisis,10,-0.04747357167884998,-0.031817997024624164,-0.03897353039825065
artist_transition,10,-0.03353258167822144,-0.060015601438627664,-0.09114406378590756
dating,9,-0.012788885550934513,-0.010615468197813236,-0.011448261603379195
positive_resolution,8,0.052568164190431796,0.019521782756216355,-0.0018516548922099035
