DV,term,coef,std_err,t_value,p_value,nobs,r2,adj_r2,model_p_value
AR_0,Intercept,-0.000916300989109527,0.00524203071740029,-0.1747988591650133,0.8612376847915435,79,0.12263395052503356,0.008194900593516241,3.492758546225985e-07
AR_0,C(event_type_final)[T.positive_comeback],-0.0021814562805215192,0.007900801326482075,-0.2761056999635806,0.7824668828481984,79,0.12263395052503356,0.008194900593516241,3.492758546225985e-07
AR_0,C(event_type_final)[T.positive_concert],0.002471463896820611,0.006321384335025241,0.3909687761155156,0.6958203156535873,79,0.12263395052503356,0.008194900593516241,3.492758546225985e-07
AR_0,C(event_type_final)[T.positive_resolution],0.010898743305368904,0.013218572048812521,0.8245023187922922,0.40965419879484766,79,0.12263395052503356,0.008194900593516241,3.492758546225985e-07
AR_0,C(event_type_final)[T.negative_PR_crisis],0.006437879029074979,0.01396800127613669,0.4609019502363323,0.6448689525069293,79,0.12263395052503356,0.008194900593516241,3.492758546225985e-07
AR_0,C(event_type_final)[T.negative_contract_crisis],-0.022254169165651535,0.006417775760149856,-3.4675828507183457,0.0005251618252816148,79,0.12263395052503356,0.008194900593516241,3.492758546225985e-07
AR_0,C(event_type_final)[T.dating],0.006856901456021684,0.010507884275368832,0.6525482462815764,0.5140475596155218,79,0.12263395052503356,0.008194900593516241,3.492758546225985e-07
AR_0,C(event_type_final)[T.artist_transition],0.026465729810528655,0.015629089712494132,1.693363484206732,0.09038630100817327,79,0.12263395052503356,0.008194900593516241,3.492758546225985e-07
AR_0,log_market_cap_c,0.001966748724358161,0.003351069008435147,0.5869018869523598,0.557269602423203,79,0.12263395052503356,0.008194900593516241,3.492758546225985e-07
AR_0,log_youtube_channel_subscribers_c,-0.00531621409532351,0.002295028460672209,-2.316404430891634,0.020536197058453193,79,0.12263395052503356,0.008194900593516241,3.492758546225985e-07
CAR_m1_p1,Intercept,0.00459611727490524,0.006396263353084644,0.7185628579049563,0.4724103052193884,79,0.22892831610683617,0.12835374864251048,0.11937482869860373
CAR_m1_p1,C(event_type_final)[T.positive_comeback],-0.018867543023482706,0.012342437237455938,-1.5286723894552081,0.12634568037746474,79,0.22892831610683617,0.12835374864251048,0.11937482869860373
CAR_m1_p1,C(event_type_final)[T.positive_concert],0.00405699156916647,0.009666534615467822,0.419694516241085,0.6747086316383895,79,0.22892831610683617,0.12835374864251048,0.11937482869860373
CAR_m1_p1,C(event_type_final)[T.positive_resolution],0.035601413026059764,0.030480624069711075,1.1680014472353693,0.24280618112030727,79,0.22892831610683617,0.12835374864251048,0.11937482869860373
CAR_m1_p1,C(event_type_final)[T.negative_PR_crisis],0.006213968425846304,0.017158052614231614,0.36216047156145076,0.7172321164989137,79,0.22892831610683617,0.12835374864251048,0.11937482869860373
CAR_m1_p1,C(event_type_final)[T.negative_contract_crisis],-0.07915391014463574,0.05031562051525952,-1.573147848204123,0.11568458781879956,79,0.22892831610683617,0.12835374864251048,0.11937482869860373
CAR_m1_p1,C(event_type_final)[T.dating],-0.017754536755999095,0.014204781704419711,-1.2498985993198968,0.21133659116422332,79,0.22892831610683617,0.12835374864251048,0.11937482869860373
CAR_m1_p1,C(event_type_final)[T.artist_transition],0.01525920752849765,0.011637382749489635,1.3112233099978474,0.18978232926412664,79,0.22892831610683617,0.12835374864251048,0.11937482869860373
CAR_m1_p1,log_market_cap_c,-0.0016974444556812453,0.004847451779841832,-0.35017253038804474,0.7262092208333862,79,0.22892831610683617,0.12835374864251048,0.11937482869860373
CAR_m1_p1,log_youtube_channel_subscribers_c,-0.004837459713293139,0.005168753903443027,-0.935904437251461,0.34932239237904406,79,0.22892831610683617,0.12835374864251048,0.11937482869860373
CAR_0_p1,Intercept,-0.0034486043710549733,0.006316683370306675,-0.545951754882332,0.5850991009934247,79,0.18847082703923979,0.08261919578348853,0.3015182383008057
CAR_0_p1,C(event_type_final)[T.positive_comeback],-0.003038146620575311,0.011757895266021797,-0.2583920465217111,0.7961043541973621,79,0.18847082703923979,0.08261919578348853,0.3015182383008057
CAR_0_p1,C(event_type_final)[T.positive_concert],0.009726235069522715,0.008561963776703225,1.1359818054810542,0.25596417908494873,79,0.18847082703923979,0.08261919578348853,0.3015182383008057
CAR_0_p1,C(event_type_final)[T.positive_resolution],0.036795066273773096,0.023958960437855826,1.5357538725109234,0.12459875680762436,79,0.18847082703923979,0.08261919578348853,0.3015182383008057
CAR_0_p1,C(event_type_final)[T.negative_PR_crisis],0.0077583714740019835,0.015200093913545935,0.5104160223041728,0.6097600342519025,79,0.18847082703923979,0.08261919578348853,0.3015182383008057
CAR_0_p1,C(event_type_final)[T.negative_contract_crisis],-0.052909144679687575,0.03193484509035507,-1.6567841343832648,0.09756312578203813,79,0.18847082703923979,0.08261919578348853,0.3015182383008057
CAR_0_p1,C(event_type_final)[T.dating],0.0005692250447129361,0.007732191153560057,0.07361755981043658,0.9413146983444178,79,0.18847082703923979,0.08261919578348853,0.3015182383008057
CAR_0_p1,C(event_type_final)[T.artist_transition],0.026485128135801717,0.01746767847768918,1.5162362972063055,0.12945961299899947,79,0.18847082703923979,0.08261919578348853,0.3015182383008057
CAR_0_p1,log_market_cap_c,0.00012063030244893595,0.003979190001201498,0.0303152909040564,0.9758156017997572,79,0.18847082703923979,0.08261919578348853,0.3015182383008057
CAR_0_p1,log_youtube_channel_subscribers_c,-0.0014216691581114714,0.0042075157390491814,-0.3378880190315679,0.73544757656134,79,0.18847082703923979,0.08261919578348853,0.3015182383008057
CAR_0_p3,Intercept,-0.012635279155900705,0.00751038380443949,-1.6823746275698748,0.09249621820043748,79,0.1364046198989961,0.023761744233647852,0.2640764020880261
CAR_0_p3,C(event_type_final)[T.positive_comeback],-0.0037175955193683515,0.0155614117664651,-0.23889834516041683,0.8111844087842878,79,0.1364046198989961,0.023761744233647852,0.2640764020880261
CAR_0_p3,C(event_type_final)[T.positive_concert],0.016361457318070365,0.01064097722078692,1.537589732464478,0.12414895951767038,79,0.1364046198989961,0.023761744233647852,0.2640764020880261
CAR_0_p3,C(event_type_final)[T.positive_resolution],0.02638918856712574,0.025719162589291193,1.0260516249511766,0.3048672506807881,79,0.1364046198989961,0.023761744233647852,0.2640764020880261
CAR_0_p3,C(event_type_final)[T.negative_PR_crisis],0.0031189838454121046,0.016043888022311804,0.19440324197442774,0.8458601516181705,79,0.1364046198989961,0.023761744233647852,0.2640764020880261
CAR_0_p3,C(event_type_final)[T.negative_contract_crisis],-0.053357028297859994,0.023475832413163776,-2.2728492587100217,0.023035265446764423,79,0.1364046198989961,0.023761744233647852,0.2640764020880261
