DV,term,coef,std_err,t_value,p_value,nobs,r2,adj_r2,model_p_value
CAR_m1_p1,Intercept,0.004956578488800149,0.0063880414535386724,0.7759152041905488,0.43779905474688996,165,0.17586551495573732,0.12801254485639302,0.006543161261478843
CAR_m1_p1,C(event_type_final)[T.positive_comeback],0.003380760505439062,0.012757471562921341,0.2650023939904358,0.791007617593014,165,0.17586551495573732,0.12801254485639302,0.006543161261478843
CAR_m1_p1,C(event_type_final)[T.positive_concert],0.0031219793096644495,0.00798274678977893,0.3910908603116181,0.6957300761374166,165,0.17586551495573732,0.12801254485639302,0.006543161261478843
CAR_m1_p1,C(event_type_final)[T.positive_resolution],0.049179426501803576,0.026012428704404997,1.89061263985225,0.058676071713746586,165,0.17586551495573732,0.12801254485639302,0.006543161261478843
CAR_m1_p1,C(event_type_final)[T.negative_PR_crisis],-0.007293510483779404,0.011096036846277246,-0.6573077022744745,0.5109830849491264,165,0.17586551495573732,0.12801254485639302,0.006543161261478843
CAR_m1_p1,C(event_type_final)[T.negative_contract_crisis],-0.05639526201082482,0.017126956095183856,-3.2927778700082797,0.0009920281653243803,165,0.17586551495573732,0.12801254485639302,0.006543161261478843
CAR_m1_p1,C(event_type_final)[T.dating],-0.01634789491967021,0.011109422708638432,-1.4715341515413274,0.14114671866080122,165,0.17586551495573732,0.12801254485639302,0.006543161261478843
CAR_m1_p1,C(event_type_final)[T.artist_transition],-0.03545583257677754,0.03248458976366686,-1.0914662255157654,0.27506778554622,165,0.17586551495573732,0.12801254485639302,0.006543161261478843
CAR_m1_p1,company_scale_weight,-0.00021380651817590814,0.0038801270554221856,-0.0551029683105685,0.9560564313698013,165,0.17586551495573732,0.12801254485639302,0.006543161261478843
CAR_m1_p1,fanbase_weight,-0.007584404756558451,0.00520209188969181,-1.4579528615377415,0.1448535365296489,165,0.17586551495573732,0.12801254485639302,0.006543161261478843
