,log_market_cap,log_revenue,log_youtube_channel_subscribers,log_youtube_channel_views,log_youtube_channel_videos,log_instagram_followers,log_spotify_monthly_listeners
log_market_cap,1.0,0.9751940309556713,-0.1383629850984057,-0.04456158949356478,0.5417467789538083,0.22495429433219272,0.2704877787152303
log_revenue,0.9751940309556713,1.0,-0.24774200516392042,-0.1908272040208283,0.5106226940711756,0.19261378208958757,0.15477076358381117
log_youtube_channel_subscribers,-0.1383629850984057,-0.24774200516392042,1.0,0.9017307085381815,-0.05240776802253863,0.542964532085377,0.6267123602458807
log_youtube_channel_views,-0.04456158949356478,-0.1908272040208283,0.9017307085381815,1.0,-0.014807985374312228,0.4071462394874394,0.7475671188470385
log_youtube_channel_videos,0.5417467789538083,0.5106226940711756,-0.05240776802253863,-0.014807985374312228,1.0,0.3556751621886351,0.01941356333567006
log_instagram_followers,0.22495429433219272,0.19261378208958757,0.542964532085377,0.4071462394874394,0.3556751621886351,1.0,0.4900599450439367
log_spotify_monthly_listeners,0.2704877787152303,0.15477076358381117,0.6267123602458807,0.7475671188470385,0.01941356333567006,0.4900599450439367,1.0
