event_type_final,event_day,AAR,CAAR
positive_activity,-10,0.000828775977211003,0.000828775977211003
positive_activity,-9,0.00015731223776690588,0.000986088214977909
positive_activity,-8,0.004815290963386367,0.005801379178364276
positive_activity,-7,0.001007579195768663,0.006808958374132939
positive_activity,-6,0.004999157481422472,0.011808115855555412
positive_activity,-5,-0.0023246100686844734,0.009483505786870938
positive_activity,-4,0.010589988153984502,0.02007349394085544
positive_activity,-3,0.003810779717931227,0.02388427365878667
positive_activity,-2,-0.006792779155141828,0.01709149450364484
positive_activity,-1,0.007186928061140024,0.024278422564784862
positive_activity,0,-0.00038714956735514435,0.02389127299742972
positive_activity,1,-0.0012933510884973573,0.02259792190893236
positive_activity,2,-0.00752835229106626,0.015069569617866102
positive_activity,3,-0.0021775126153426214,0.01289205700252348
positive_activity,4,0.0014989363502020514,0.014390993352725532
positive_activity,5,0.0038320687087810205,0.01822306206150655
positive_activity,6,-0.0011145982626867019,0.01710846379881985
positive_activity,7,-0.0008900755205827693,0.01621838827823708
positive_activity,8,0.0004680552340971047,0.016686443512334184
positive_activity,9,0.0006670612036701873,0.017353504716004373
positive_activity,10,-0.0003905364739556647,0.01696296824204871
positive_comeback,-10,-0.0011784968631838304,-0.0011784968631838304
positive_comeback,-9,-0.0012441375778470744,-0.002422634441030905
positive_comeback,-8,-0.009024828170991603,-0.011447462612022508
positive_comeback,-7,0.002466443085453423,-0.008981019526569085
positive_comeback,-6,0.004673380627253972,-0.004307638899315113
positive_comeback,-5,-0.0034430819135139496,-0.007750720812829062
positive_comeback,-4,0.00607066699679525,-0.0016800538160338125
positive_comeback,-3,-0.007248886582304347,-0.008928940398338159
positive_comeback,-2,-0.005969814533404944,-0.014898754931743103
positive_comeback,-1,0.001877830029174427,-0.013020924902568676
positive_comeback,0,0.0025601208704508958,-0.010460804032117781
positive_comeback,1,0.004637977083127855,-0.005822826948989925
positive_comeback,2,0.0005080383333023214,-0.005314788615687604
positive_comeback,3,0.0009737435265535258,-0.0043410450891340786
positive_comeback,4,-0.0004501297606552585,-0.004791174849789337
positive_comeback,5,-0.005808458896174466,-0.010599633745963802
positive_comeback,6,0.0014512681168821742,-0.009148365629081629
positive_comeback,7,0.002388024474783209,-0.006760341154298419
positive_comeback,8,-0.002584994140585766,-0.009345335294884185
positive_comeback,9,-0.0033659253761256012,-0.012711260671009786
positive_comeback,10,0.004803323539439859,-0.007907937131569927
positive_concert,-10,0.00023666498682299312,0.00023666498682299312
positive_concert,-9,-0.0019161012492412953,-0.0016794362624183022
positive_concert,-8,-0.00719563557828369,-0.008875071840701992
positive_concert,-7,-0.000708663559111769,-0.009583735399813761
positive_concert,-6,0.008269778966764398,-0.0013139564330493618
positive_concert,-5,0.00021898753477761295,-0.0010949688982717489
positive_concert,-4,0.0037140740090579882,0.0026191051107862396
positive_concert,-3,-0.007901648416795623,-0.005282543306009383
positive_concert,-2,0.003804089712245682,-0.0014784535937637016
positive_concert,-1,-0.001382052196066506,-0.0028605057898302075
positive_concert,0,0.001169663523692736,-0.0016908422661374718
positive_concert,1,0.007464375661275046,0.005773533395137574
positive_concert,2,-0.0011606118719349238,0.00461292152320265
positive_concert,3,0.0016515411146502408,0.0062644626378528905
positive_concert,4,0.001041275681215065,0.007305738319067955
positive_concert,5,-0.003809406758287206,0.0034963315607807496
positive_concert,6,0.0029995160035852634,0.006495847564366013
positive_concert,7,0.004130759739216501,0.010626607303582513
positive_concert,8,-0.003490205076739167,0.007136402226843347
positive_concert,9,-0.0045522067638385354,0.0025841954630048116
positive_concert,10,-0.0008705901539465226,0.001713605309058289
positive_resolution,-10,-0.005766762152253992,-0.005766762152253992
positive_resolution,-9,0.021915861997892687,0.016149099845638695
positive_resolution,-8,0.014137694417461138,0.030286794263099832
positive_resolution,-7,0.0027109485333442346,0.03299774279644407
positive_resolution,-6,-0.004017420209838862,0.028980322586605205
positive_resolution,-5,-0.010051590346453454,0.01892873224015175
