date,company,ticker,open,high,low,close,adj_close,volume,daily_return,peer_avg_return,abnormal_return
2020-12-29,JYP,035900.KQ,38500.0,38800.0,37650.0,38650.0,37140.91015625,552737,0.0079278834620424,0.012498493987811533,-0.004570610525769134
2020-12-30,JYP,035900.KQ,38650.0,39100.0,38050.0,38400.0,36900.671875,483327,-0.0064682927865614,0.0084249055267664,-0.0148931983133278
2021-01-04,JYP,035900.KQ,38400.0,38450.0,37450.0,37550.0,36083.859375,677984,-0.0221354370664829,-0.011254711549317467,-0.010880725517165433
2021-01-05,JYP,035900.KQ,37550.0,37650.0,36650.0,37250.0,35795.5703125,757871,-0.007989418745483,-0.008004606952392032,1.5188206909032623e-05
2021-01-06,JYP,035900.KQ,37400.0,37850.0,36650.0,36700.0,35267.046875,572010,-0.0147650514542978,-0.005158481865935034,-0.009606569588362767
2021-01-07,JYP,035900.KQ,36650.0,37050.0,36500.0,36650.0,35218.99609375,668591,-0.0013624838342805,-0.0008556805748916669,-0.0005068032593888331
2021-01-08,JYP,035900.KQ,37300.0,38250.0,36650.0,37800.0,36324.09765625,1220627,0.0313779972478009,0.031700921081797596,-0.0003229238339966939
2021-01-11,JYP,035900.KQ,38100.0,38150.0,35550.0,36200.0,34786.5703125,1719033,-0.0423280258273793,-0.030624584677100598,-0.011703441150278705
2021-01-12,JYP,035900.KQ,36200.0,37300.0,35650.0,36900.0,35459.23828125,921925,0.0193370016850522,0.0067374418938766336,0.012599559791175566
2021-01-13,JYP,035900.KQ,36900.0,38200.0,36550.0,37000.0,35555.3359375,1090658,0.0027100880026746,0.06503863031658887,-0.06232854231391426
2021-01-14,JYP,035900.KQ,37150.0,37950.0,37000.0,37050.0,35603.3828125,633453,0.0013513267061928,-0.00222668816807,0.0035780148742627998
2021-01-15,JYP,035900.KQ,37450.0,38100.0,36150.0,36250.0,34834.6171875,681564,-0.0215924882489001,-0.03949804645657117,0.017905558207671073
2021-01-18,JYP,035900.KQ,36150.0,36600.0,35200.0,35900.0,34498.28125,449879,-0.0096552212900645,0.012679541285376869,-0.02233476257544137
2021-01-19,JYP,035900.KQ,35600.0,36600.0,35600.0,36500.0,35074.85546875,357336,0.0167131288243527,0.037450092539948236,-0.020736963715595535
2021-01-20,JYP,035900.KQ,36700.0,38750.0,36550.0,38500.0,36996.765625,1984739,0.0547945281759558,0.043788660632452896,0.011005867543502905
2021-01-21,JYP,035900.KQ,38600.0,38750.0,37500.0,37850.0,36372.14453125,740982,-0.0168831270301077,-0.004907102243421066,-0.011976024786686633
2021-01-22,JYP,035900.KQ,37850.0,38800.0,37300.0,38000.0,36516.28515625,1011279,0.0039629399601708,0.060906610109847194,-0.05694367014967639
2021-01-25,JYP,035900.KQ,38400.0,38600.0,37600.0,37700.0,36228.00390625,690233,-0.0078945941178427,0.02600513787158737,-0.03389973198943007
2021-01-26,JYP,035900.KQ,37750.0,37800.0,36250.0,36400.0,34978.76171875,870210,-0.0344827772110426,0.0043580318137295,-0.0388408090247721
2021-01-27,JYP,035900.KQ,36900.0,36900.0,35000.0,35200.0,33825.6171875,1510032,-0.032966991242342,-0.018046543410272033,-0.014920447832069968
2021-01-28,JYP,035900.KQ,34450.0,35500.0,34000.0,34150.0,32816.61328125,999684,-0.0298295785900063,-0.010255792096596038,-0.01957378649341026
2021-01-29,JYP,035900.KQ,34500.0,34700.0,32050.0,32500.0,31231.03515625,1119411,-0.0483163241560313,-0.04810729546699367,-0.0002090286890376325
2021-02-01,JYP,035900.KQ,32050.0,33700.0,31400.0,33600.0,32288.0859375,754544,0.0338461653916219,0.027397931873207937,0.006448233518413962
2021-02-02,JYP,035900.KQ,33750.0,35550.0,33400.0,34100.0,32768.5625,939832,0.0148809242960408,0.04113273600572804,-0.02625181170968724
2021-02-03,JYP,035900.KQ,34300.0,34600.0,33950.0,34300.0,32960.7578125,402083,0.0058652347810497,0.010166439198954666,-0.004301204417904966
2021-02-04,JYP,035900.KQ,34350.0,34350.0,33350.0,33450.0,32143.943359375,420001,-0.0247814221314788,0.006174003828591766,-0.030955425960070566
2021-02-05,JYP,035900.KQ,33600.0,33800.0,32900.0,33350.0,32047.845703125,318179,-0.0029896038322246,-0.0021360192867098,-0.0008535845455148001
2021-02-08,JYP,035900.KQ,33050.0,33750.0,32800.0,33400.0,32095.896484375,292457,0.001499345125882,0.003937687889708534,-0.0024383427638265337
2021-02-09,JYP,035900.KQ,33700.0,33700.0,33000.0,33150.0,31855.658203125,314183,-0.007485015455697,-0.0394038001678518,0.0319187847121548
2021-02-10,JYP,035900.KQ,33300.0,34450.0,33200.0,33800.0,32480.275390625,528299,0.0196077313335414,0.012613584654368933,0.006994146679172466
2021-02-15,JYP,035900.KQ,33900.0,34500.0,33800.0,34150.0,32816.61328125,396487,0.0103551428237607,-0.007740495446278701,0.0180956382700394
2021-02-16,JYP,035900.KQ,34250.0,36450.0,33850.0,36450.0,35026.8046875,1548236,0.0673497715107855,0.0475004555422473,0.0198493159685382
2021-02-17,JYP,035900.KQ,36500.0,38200.0,35500.0,37600.0,36131.90625,2257281,0.031550167717536,-0.0025725055158141003,0.0341226732333501
2021-02-18,JYP,035900.KQ,37750.0,38200.0,36400.0,37000.0,35555.3359375,1048365,-0.0159573732011441,-0.024936185086538703,0.008978811885394605
2021-02-19,JYP,035900.KQ,36950.0,37150.0,35200.0,36700.0,35267.046875,826583,-0.0081081799650764,-0.017692424909130033,0.009584244944053633
2021-02-22,JYP,035900.KQ,36700.0,37150.0,35400.0,35650.0,34258.046875,572125,-0.0286102775652377,-0.0248300999587513,-0.003780177606486402
2021-02-23,JYP,035900.KQ,35200.0,36250.0,34700.0,35500.0,34113.90625,562824,-0.0042074968700328,0.0161427114877606,-0.0203502083577934
2021-02-24,JYP,035900.KQ,35850.0,37450.0,35100.0,35500.0,34113.90625,1259163,0.0,-0.03930222032208577,0.03930222032208577
2021-02-25,JYP,035900.KQ,36150.0,37700.0,35700.0,37450.0,35987.76171875,1558779,0.0549293726440371,0.0183135425676394,0.036615830076397696
2021-02-26,JYP,035900.KQ,36300.0,36900.0,35850.0,36500.0,35074.85546875,1054336,-0.0253671305577297,-0.017172597120543132,-0.008194533437186569
2021-03-02,JYP,035900.KQ,37050.0,38200.0,36750.0,37800.0,36324.09765625,1482936,0.0356164600197146,0.0039298243322125,0.0316866356875021
2021-03-03,JYP,035900.KQ,37700.0,38250.0,37150.0,37950.0,36468.2421875,910732,0.0039682893877805,0.0396462887085987,-0.0356779993208182
2021-03-04,JYP,035900.KQ,37500.0,37500.0,36350.0,36950.0,35507.28125,1044756,-0.0263506239911224,0.0152924534425503,-0.041643077433672696
2021-03-05,JYP,035900.KQ,36300.0,38400.0,36000.0,37450.0,35987.76171875,2420151,0.0135318856255715,0.005403263562391133,0.008128622063180366
2021-03-08,JYP,035900.KQ,37550.0,37600.0,35500.0,35700.0,34306.09375,1642690,-0.04672888472177,-0.013357783103462398,-0.03337110161830761
2021-03-09,JYP,035900.KQ,35400.0,35750.0,33600.0,34200.0,32864.66015625,1078608,-0.0420168382985894,-0.030259786096142632,-0.011757052202446765
2021-03-10,JYP,035900.KQ,34750.0,35250.0,33200.0,33300.0,31999.802734375,607663,-0.0263157269164862,-0.028839918951688,0.002524192035201798
2021-03-11,JYP,035900.KQ,33400.0,34400.0,33400.0,34300.0,32960.7578125,518613,0.0300300313130592,0.05881199381353353,-0.028781962500474333
2021-03-12,JYP,035900.KQ,34400.0,34950.0,34300.0,34500.0,33152.9453125,644453,0.0058307973710214,0.013081823036836832,-0.007251025665815432
2021-03-15,JYP,035900.KQ,34500.0,34500.0,33650.0,34300.0,32960.7578125,356628,-0.0057969962604661,-0.012227858152586167,0.0064308618921200674
2021-03-16,JYP,035900.KQ,34400.0,35150.0,34300.0,35000.0,33633.421875,410465,0.0204080278228584,0.0029694558951919004,0.017438571927666503
2021-03-17,JYP,035900.KQ,35000.0,35400.0,34800.0,35150.0,33777.56640625,328527,0.0042857527784629,0.018561641890069633,-0.014275889111606732
2021-03-18,JYP,035900.KQ,35600.0,35850.0,35050.0,35200.0,33825.6171875,385881,0.001422564925847,-0.005837515678718767,0.007260080604565767
2021-03-19,JYP,035900.KQ,34650.0,35350.0,34500.0,35350.0,33969.76171875,312519,0.0042614013648587,-0.011881698454098933,0.016143099818957632
2021-03-22,JYP,035900.KQ,35100.0,35400.0,34800.0,35400.0,34017.8046875,232718,0.0014142863040302,0.003896896100678267,-0.002482609796648067
2021-03-23,JYP,035900.KQ,35400.0,35900.0,35200.0,35400.0,34017.8046875,397899,0.0,-0.018811937508989702,0.018811937508989702
2021-03-24,JYP,035900.KQ,35050.0,36200.0,34750.0,36150.0,34738.52734375,692674,0.0211866304387018,-0.010390421825777499,0.031577052264479294
2021-03-25,JYP,035900.KQ,36200.0,36600.0,35500.0,36500.0,35074.85546875,433751,0.0096817035930141,0.024086382763986267,-0.014404679170972167
2021-03-26,JYP,035900.KQ,36500.0,36500.0,35500.0,35700.0,34306.09375,464541,-0.0219177444490092,0.0014346539826782998,-0.0233523984316875
2021-03-29,JYP,035900.KQ,35500.0,35500.0,34850.0,34850.0,33489.28125,375023,-0.023809545498021,-0.012595621798463533,-0.011213923699557468
