DV,term,coef,std_err,t_value,p_value,nobs,r2,adj_r2,model_p_value
CAR_m1_p1,Intercept,0.005555654292000529,0.006336307738270987,0.8767967910467243,0.380597022385631,165,0.1845895723772999,0.13724316045082052,0.004124454771647802
CAR_m1_p1,C(event_type_final)[T.positive_comeback],0.000795902800265561,0.012670399156449156,0.06281592161683804,0.9499130872906401,165,0.1845895723772999,0.13724316045082052,0.004124454771647802
CAR_m1_p1,C(event_type_final)[T.positive_concert],0.003914018762381415,0.007891601130159905,0.4959727053896484,0.6199136683698643,165,0.1845895723772999,0.13724316045082052,0.004124454771647802
CAR_m1_p1,C(event_type_final)[T.positive_resolution],0.05097764254664663,0.02584721646799593,1.9722681786554168,0.048579000226611956,165,0.1845895723772999,0.13724316045082052,0.004124454771647802
CAR_m1_p1,C(event_type_final)[T.negative_PR_crisis],-0.009215564311051748,0.011293720576503633,-0.8159901113743288,0.4145057914466569,165,0.1845895723772999,0.13724316045082052,0.004124454771647802
CAR_m1_p1,C(event_type_final)[T.negative_contract_crisis],-0.05899641074335822,0.017376202324033772,-3.3952419316479614,0.0006856798141783451,165,0.1845895723772999,0.13724316045082052,0.004124454771647802
CAR_m1_p1,C(event_type_final)[T.dating],-0.01878579308830276,0.01109011930887962,-1.6939216400730133,0.09028017423412402,165,0.1845895723772999,0.13724316045082052,0.004124454771647802
CAR_m1_p1,C(event_type_final)[T.artist_transition],-0.0352677006963641,0.03276088186088867,-1.0765186616807214,0.2816953593845265,165,0.1845895723772999,0.13724316045082052,0.004124454771647802
CAR_m1_p1,log_market_cap_c,-0.0018967514572245908,0.005106550359740263,-0.37143498518656853,0.7103135719200291,165,0.1845895723772999,0.13724316045082052,0.004124454771647802
CAR_m1_p1,log_youtube_channel_subscribers_c,-0.00987904770687159,0.005342810044198649,-1.8490359240075354,0.06445262558716293,165,0.1845895723772999,0.13724316045082052,0.004124454771647802
