date,company,ticker,open,high,low,close,adj_close,volume,daily_return
2020-12-28,JYP,035900.KQ,37150.0,38800.0,36400.0,38500.0,36848.77734375,1101597,
2020-12-29,JYP,035900.KQ,38500.0,38800.0,37650.0,38650.0,37140.91015625,552737,0.007927883462042429
2020-12-30,JYP,035900.KQ,38650.0,39100.0,38050.0,38400.0,36900.671875,483327,-0.006468292786561469
2021-01-04,JYP,035900.KQ,38400.0,38450.0,37450.0,37550.0,36083.859375,677984,-0.02213543706648291
2021-01-05,JYP,035900.KQ,37550.0,37650.0,36650.0,37250.0,35795.5703125,757871,-0.00798941874548309
2021-01-06,JYP,035900.KQ,37400.0,37850.0,36650.0,36700.0,35267.046875,572010,-0.01476505145429785
2021-01-07,JYP,035900.KQ,36650.0,37050.0,36500.0,36650.0,35218.99609375,668591,-0.0013624838342805035
2021-01-08,JYP,035900.KQ,37300.0,38250.0,36650.0,37800.0,36324.09765625,1220627,0.03137799724780099
2021-01-11,JYP,035900.KQ,38100.0,38150.0,35550.0,36200.0,34786.5703125,1719033,-0.04232802582737938
2021-01-12,JYP,035900.KQ,36200.0,37300.0,35650.0,36900.0,35459.23828125,921925,0.019337001685052257
2021-01-13,JYP,035900.KQ,36900.0,38200.0,36550.0,37000.0,35555.3359375,1090658,0.002710088002674693
2021-01-14,JYP,035900.KQ,37150.0,37950.0,37000.0,37050.0,35603.3828125,633453,0.001351326706192868
2021-01-15,JYP,035900.KQ,37450.0,38100.0,36150.0,36250.0,34834.6171875,681564,-0.021592488248900144
2021-01-18,JYP,035900.KQ,36150.0,36600.0,35200.0,35900.0,34498.28125,449879,-0.009655221290064575
2021-01-19,JYP,035900.KQ,35600.0,36600.0,35600.0,36500.0,35074.85546875,357336,0.01671312882435272
2021-01-20,JYP,035900.KQ,36700.0,38750.0,36550.0,38500.0,36996.765625,1984739,0.05479452817595587
2021-01-21,JYP,035900.KQ,38600.0,38750.0,37500.0,37850.0,36372.14453125,740982,-0.016883127030107747
2021-01-22,JYP,035900.KQ,37850.0,38800.0,37300.0,38000.0,36516.28515625,1011279,0.00396293996017083
2021-01-25,JYP,035900.KQ,38400.0,38600.0,37600.0,37700.0,36228.00390625,690233,-0.007894594117842768
2021-01-26,JYP,035900.KQ,37750.0,37800.0,36250.0,36400.0,34978.76171875,870210,-0.03448277721104265
2021-01-27,JYP,035900.KQ,36900.0,36900.0,35000.0,35200.0,33825.6171875,1510032,-0.032966991242342036
2021-01-28,JYP,035900.KQ,34450.0,35500.0,34000.0,34150.0,32816.61328125,999684,-0.029829578590006345
2021-01-29,JYP,035900.KQ,34500.0,34700.0,32050.0,32500.0,31231.03515625,1119411,-0.048316324156031376
2021-02-01,JYP,035900.KQ,32050.0,33700.0,31400.0,33600.0,32288.0859375,754544,0.033846165391621996
2021-02-02,JYP,035900.KQ,33750.0,35550.0,33400.0,34100.0,32768.5625,939832,0.01488092429604082
2021-02-03,JYP,035900.KQ,34300.0,34600.0,33950.0,34300.0,32960.7578125,402083,0.005865234781049722
2021-02-04,JYP,035900.KQ,34350.0,34350.0,33350.0,33450.0,32143.943359375,420001,-0.024781422131478825
2021-02-05,JYP,035900.KQ,33600.0,33800.0,32900.0,33350.0,32047.845703125,318179,-0.0029896038322246854
